Designator,Mid X,Mid Y,Rotation,Layer
D1,61.41625,-49.3275,180.0,bottom
D10,89.99125,-101.715,180.0,bottom
D11,109.04125,-106.4775,180.0,bottom
D12,120.9475,-118.38375,270.0,bottom
D13,70.94125,-125.5275,180.0,bottom
D14,89.99125,-120.765,180.0,bottom
D15,109.04125,-125.5275,180.0,bottom
D16,70.94125,-144.5775,180.0,bottom
D17,89.99125,-139.815,180.0,bottom
D18,109.04125,-144.5775,180.0,bottom
D19,120.9475,-156.48375,270.0,bottom
D2,80.46625,-49.3275,180.0,bottom
D20,70.94125,-163.6275,180.0,bottom
D21,109.04125,-163.6275,180.0,bottom
D3,118.56625,-49.3275,180.0,bottom
D4,137.61625,-49.3275,180.0,bottom
D5,70.94125,-87.4275,180.0,bottom
D6,89.99125,-82.665,180.0,bottom
D7,109.04125,-87.4275,180.0,bottom
D8,128.09125,-92.19,180.0,bottom
D9,70.94125,-106.4775,180.0,bottom
SW1,59.035,-44.565,0.0,top
SW10,87.61,-96.9525,0.0,top
SW11,106.66,-101.715,0.0,top
SW12,125.71,-116.0025,270.0,top
SW13,68.56,-120.765,0.0,top
SW14,87.61,-116.0025,0.0,top
SW15,106.66,-120.765,0.0,top
SW16,68.56,-139.815,0.0,top
SW17,87.61,-135.0525,0.0,top
SW18,106.66,-139.815,0.0,top
SW19,125.71,-154.1025,270.0,top
SW2,78.085,-44.565,0.0,top
SW20,68.56,-158.865,0.0,top
SW21,106.66,-158.865,0.0,top
SW3,116.185,-44.565,0.0,top
SW4,135.235,-44.565,0.0,top
SW5,68.56,-82.665,0.0,top
SW6,87.61,-77.9025,0.0,top
SW7,106.66,-82.665,0.0,top
SW8,125.71,-87.4275,0.0,top
SW9,68.56,-101.715,0.0,top
U1,96.7975,-48.7275,0.0,bottom
